tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-life-stage,animal-sex,attachment-type,data-processing-software,deploy-off-latitude,deploy-off-longitude,deploy-on-latitude,deploy-on-longitude,deployment-comments,deployment-end-comments,deployment-end-type,deployment-id,duty-cycle,manipulation-type,study-site,tag-manufacturer-name,tag-readout-method
AM254,AM254,Loxodonta africana,2007-08-12 22:30:00.000,2009-08-12 21:30:00.000,,adult,f,collar,Custom AWT API,-24.75044,31.71488,-24.8936,31.56706,,Animal deceased - collar retrieved. Cow deceased 27 Nov - 2 Dec 09.,dead,AM254,30 min,none,"Kruger National Park, South Africa",Africa Wildlife Tracking,phone-network
AM107,AM107,Loxodonta africana,2007-08-12 22:30:00.000,2009-08-12 21:30:00.000,cluster Skukuza,adult,f,collar,Custom AWT API,-25.00145,31.31585,-24.98358,31.27708,"also has tag-id AM319, S6",,unknown,AM107,30 min,none,"Kruger National Park, South Africa",Africa Wildlife Tracking,phone-network
AM255,AM255,Loxodonta africana,2007-08-12 22:30:00.000,2008-10-22 02:00:00.000,cluster Satara/Nhlanguleni/Muzandzeni,adult,f,collar,Custom AWT API,-24.44876,31.82102,-24.40582,31.62786,,Collar expired and unretrieved,other,AM255,30 min,none,"Kruger National Park, South Africa",Africa Wildlife Tracking,phone-network
AM99,AM99,Loxodonta africana,2007-08-12 22:30:00.000,2009-08-12 21:30:00.000,cluster Satara,adult,f,collar,Custom AWT API,-24.25377,31.6432,-24.27856,31.66447,"also has tag-id AG320, KNP 9",,released,AM99,30 min,none,"Kruger National Park, South Africa",Africa Wildlife Tracking,phone-network
AM110,AM110,Loxodonta africana,2007-08-12 22:30:00.000,2009-08-12 21:30:00.000,,adult,f,collar,Custom AWT API,-24.43874,31.7585,-24.3413,31.86544,also has tag-id AG324,"Animal deceased; collar recovered 20 May 2012. Carcass est 5-6 months old, death est Feb/March 2012.",dead,AM110,30 min,none,"Kruger National Park, South Africa",Africa Wildlife Tracking,phone-network
AM253,AM253,Loxodonta africana,2007-08-12 22:30:00.000,2008-12-10 00:03:00.000,cluster Satara/Nhlanguleni/Muzandzeni,adult,f,collar,Custom AWT API,-25.17611,31.71029,-24.56563,31.69121,,Collar expired and unretrieved,other,AM253,30 min,none,"Kruger National Park, South Africa",Africa Wildlife Tracking,phone-network
AM105,AM105,Loxodonta africana,2007-08-12 22:30:00.000,2009-08-12 21:30:00.000,cluster Lower Sabie,adult,f,collar,Custom AWT API,-24.7194,31.80478,-24.81373,31.87091,"also has tag-id AG325, KNP 12; 2015 downloaded, from Sep 13 to 2014 missing",active as of June 2016,other,AM105,30 min,none,"Kruger National Park, South Africa",Africa Wildlife Tracking,phone-network
AM239,AM239,Loxodonta africana,2007-08-12 22:30:00.000,2009-08-12 21:00:00.000,cluster Orpen/Skukuza,adult,f,collar,Custom AWT API,-24.76264,31.661251,-24.80802,31.60174,also has tag-id S7,Collar expired 13 July 2014,other,AM239,30 min,none,"Kruger National Park, South Africa",Africa Wildlife Tracking,phone-network
AM91,AM91,Loxodonta africana,2007-08-12 22:33:00.000,2009-08-12 11:39:00.000,cluster Satara,adult,f,collar,Custom AWT API,-24.44131,31.92562,-24.34307,31.80422,"also has tag-id AG326, KNP 8",,released,AM91,30 min,none,"Kruger National Park, South Africa",Africa Wildlife Tracking,phone-network
AM93,AM93,Loxodonta africana,2007-08-12 23:30:00.000,2009-08-12 21:30:00.000,cluster Satara,adult,f,collar,Custom AWT API,-24.46647,31.9354,-24.32108,31.77833,"also has tag-id AG323, KNP10",,released,AM93,30 min,none,"Kruger National Park, South Africa",Africa Wildlife Tracking,phone-network
AM108,AM108,Loxodonta africana,2007-08-13 04:00:00.000,2009-03-04 20:01:00.000,cluster Skukuza,adult,f,collar,Custom AWT API,-24.47083,31.39233,-24.4274,31.53033,tag missing from master deployment sheet; may be confused with AM106,,released,AM108,30 min,none,"Kruger National Park, South Africa",Africa Wildlife Tracking,phone-network
AM306,AM306,Loxodonta africana,2008-03-02 23:01:00.000,2009-08-11 11:30:00.000,,adult,f,collar,Custom AWT API,-24.29974,31.56807,-24.20302,31.44641,,Collar expired 27 June 2014. No data 11/06/12 - 29/06/12.,other,AM306,30 min,none,"Kruger National Park, South Africa",Africa Wildlife Tracking,phone-network
AM307,AM307,Loxodonta africana,2008-03-03 02:00:00.000,2009-08-12 21:30:00.000,,adult,f,collar,Custom AWT API,-24.44131,31.44024,-24.12627,31.53517,,Collar expired,other,AM307,30 min,none,"Kruger National Park, South Africa",Africa Wildlife Tracking,phone-network
AM308,AM308,Loxodonta africana,2008-03-10 22:00:00.000,2009-08-11 22:00:00.000,,adult,f,collar,Custom AWT API,-24.56555,31.38646,-24.522701,31.49446,also has tag-id S2,"animal deceased April 2012, tag recovered",dead,AM308,30 min,none,"Kruger National Park, South Africa",Africa Wildlife Tracking,phone-network
