rank,cell_id,latitude,longitude,cells_visible,weighted_demand_coverage,elephant_visits_in_range,camera_value
1,R000C000,10.75157164,76.62525892000001,1071,99.61792149091787,1472,0.8588236325256984
2,R000C001,10.75157164,76.62983212,1063,99.61792149091787,1472,0.7758143452401519
3,R000C003,10.75157164,76.63897842,1038,99.61792149091787,1472,0.913763586179053
4,R000C007,10.75157164,76.65727106,1009,99.43101987502072,1471,0.8924473493915732
5,R000C042,10.75157164,76.81733166000001,563,63.15251944174302,929,0.8662278486363305
6,R000C046,10.75157164,76.83562432,825,94.87836575368908,1409,0.9159218903105887
7,R000C047,10.75157164,76.84019746,868,98.43798251034812,1455,1.0
8,R000C048,10.75157164,76.84477062,900,99.00108080567816,1463,0.888299948080904
9,R001C002,10.7560632,76.63440526,992,99.61792149091788,1472,0.8319094452644827
10,R001C007,10.7560632,76.65727106,893,97.46670332380911,1449,0.8432768055400515
11,R001C008,10.7560632,76.66184422,852,93.29459743207151,1384,0.7779336956505845
12,R001C009,10.7560632,76.66641741999999,804,89.55874050289526,1338,0.775270574185013
13,R002C003,10.76055474,76.63897842,887,96.95669461709826,1439,0.7564401645324381
14,R012C022,10.80547034,76.72586845999999,91,29.826368872614957,474,0.9414472241777518
15,R012C023,10.80547034,76.73044162,87,27.06418451653063,427,0.7765534469728416
16,R012C026,10.80547034,76.74416112,95,29.298083335841035,452,0.797446650827497
