Rank,Cell_ID,Latitude,Longitude,Cells_Covered,Hotspot_Tier1_Coverage,Hotspot_Tier2_Coverage,Total_Priority_Score
1,R006C045,10.778521,76.83105115999999,13,6,7,12.528000000020281
2,R003C002,10.76504634,76.63440526,12,6,3,9.0
3,R006C048,10.778521,76.84477062,12,6,3,9.0
4,R002C045,10.76055474,76.83105115999999,12,5,4,8.905378990883579
5,R001C008,10.7560632,76.66184422,12,5,4,8.828169303893986
6,R003C005,10.76504634,76.64812472,12,5,5,9.543526021119042
7,R010C047,10.796487199999998,76.84019746,10,1,5,5.829072291192368
8,R000C048,10.75157164,76.84477062,9,3,3,6.0
9,R000C005,10.75157164,76.64812472,9,4,5,8.183249999497528
10,R000C042,10.75157164,76.81733166000001,8,2,5,6.839295111996931
11,R004C042,10.7695379,76.81733166000001,12,2,6,5.807746334176444
12,R000C019,10.75157164,76.71214902,6,0,4,3.9041423987501984
13,R000C002,10.75157164,76.63440526,9,5,4,6.720749997920914
14,R000C014,10.75157164,76.68928322000001,4,1,1,2.0
15,R011C025,10.80097874,76.73958796,13,7,6,2.4107183319510272
16,R012C023,10.80547034,76.73044162,12,9,2,2.0995706934648988
