Rank,Cell_ID,Latitude,Longitude,Learned_Importance,Cells_Covered,Weighted_Coverage,Importance_Sum,Visits_Total
1,R001C004,10.7560632,76.64355155999999,5.9998307,12,5.052634020699787,5.3159,127
2,R006C047,10.778521,76.84019746,9.000086,13,4.3533471673727036,4.3533473,104
3,R001C007,10.7560632,76.65727106,16.002316,12,4.462273158990402,4.562761,109
4,R000C046,10.75157164,76.83562432,16.999605,9,3.4108106389988375,3.4324322,82
5,R002C042,10.76055474,76.81733166000001,1.99997,13,3.1215986332958487,3.3905694,81
6,R004C044,10.7695379,76.82647802,6.9990263,13,2.9182975670828553,2.9300578,70
7,R002C001,10.76055474,76.62983212,6.9995723,12,3.5616601028741055,3.683529,88
8,R004C004,10.7695379,76.64355155999999,7.9998803,13,2.4278742969036102,2.4278743,58
9,R010C047,10.796487199999998,76.84019746,7.999149,13,1.4095835864714945,1.4650117,35
10,R012C023,10.80547034,76.73044162,16.999617,13,1.1078622807966898,5.8139396,139
11,R000C016,10.75157164,76.69842952,1.999961,9,0.9209348000586033,0.9209348,22
12,R001C049,10.7560632,76.84934382,0.9999663,11,1.590658511966467,1.5906585,38
13,R008C050,10.7875041,76.85391695999999,1.999961,9,0.9208833985030651,0.92088354,22
14,R010C026,10.796487199999998,76.74416112,3.9999342,13,0.7926711694868067,4.7300096,113
15,R007C045,10.783012539999998,76.83105115999999,6.0001097,13,2.872899230695878,3.390538,81
16,R000C011,10.75157164,76.67556371999999,1.7651955e-05,9,0.6240629274219622,0.62786955,15
